,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14
Evelyn Jefferson,1,1,1,1,1,1,0,1,1,0,0,0,0,0
Laura Mandeville,1,1,1,0,1,1,1,1,0,0,0,0,0,0
Theresa Anderson,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Brenda Rogers,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Charlotte McDowd,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Frances Anderson,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Eleanor Nye,0,0,0,0,1,1,1,1,0,0,0,0,0,0
Pearl Oglethorpe,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Ruth DeSand,0,0,0,0,1,0,1,1,1,0,0,0,0,0
Verne Sanderson,0,0,0,0,0,0,1,1,1,0,0,1,0,0
Myra Liddel,0,0,0,0,0,0,0,1,1,1,0,1,0,0
Katherina Rogers,0,0,0,0,0,0,0,1,1,1,0,1,1,1
Sylvia Avondale,0,0,0,0,0,0,1,1,1,1,0,1,1,1
Nora Fayette,0,0,0,0,0,1,1,0,1,1,1,1,1,1
Helen Lloyd,0,0,0,0,0,0,1,1,0,1,1,1,0,0
Dorothy Murchison,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Olivia Carleton,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Flora Price,0,0,0,0,0,0,0,0,1,0,1,0,0,0
